month,year,MEAN_BC (ug/m3),Mean_rainfall (mm)
1,2012,2.65267666237,8.48555310170
02,2012,2.57969894864,31.58990583100
03,2012,2.42359161089,28.45675709090
04,2012,2.59325695944,76.35159711200
05,2012,1.92298704049,437.80034637500
06,2012,2.09907802977,224.93948979700
07,2012,1.59647860084,403.40447743700
08,2012,2.09706420439,344.91525370300
09,2012,2.05146787285,192.75397725400
10,2012,2.68801360385,68.10164416000
11,2012,2.39675783552,33.52811746600
12,2012,2.70915833783,20.99361395840
01,2013,3.07131992316,10.02014363050
02,2013,1.96579243143,38.05297364550
03,2013,2.68094793094,38.82223170600
04,2013,2.37399535536,129.41266909300
05,2013,2.04090363322,242.37399805700
06,2013,1.95817645850,177.36326227800
07,2013,1.56644418661,420.04494913700
08,2013,1.90995614177,417.90770528200
09,2013,2.03593991691,261.67512029000
10,2013,3.05004201325,83.13251764930
11,2013,2.47316504034,50.84335237500
12,2013,5.20683068806,16.40492856180
01,2014,4.09013664614,10.02014363050
02,2014,2.03475792812,31.90998528800
03,2014,2.29440807161,32.81467725120
04,2014,2.42589621581,115.51974526700
05,2014,1.94263954515,253.89043111200
06,2014,2.05140806610,185.72072998000
07,2014,1.69123925293,335.87197336800
08,2014,1.86168274127,354.83867513000
09,2014,1.97829150604,252.11503967300
10,2014,2.75625445033,40.51222634000
11,2014,2.31997576505,33.74920894620
12,2014,3.41523409923,23.22690078420
01,2015,3.49183909210,10.02014363050
02,2015,2.53227796193,35.55933468500
03,2015,2.29639808461,47.61723946890
04,2015,2.94564071198,42.98850137070
05,2015,1.87263272528,438.28152821900
06,2015,1.84908050727,212.86226857500
07,2015,1.89143387625,450.17892222100
08,2015,1.97472265886,302.18842147800
09,2015,1.88433626679,435.63689371700
10,2015,2.65018489440,45.53778809870
11,2015,1.76845150472,38.39502660120
12,2015,2.40067591386,17.23137258530
01,2016,2.39276336806,15.90285854660
02,2016,2.95614466277,32.46870292660
03,2016,2.17742700659,37.86325658160
04,2016,2.54005588492,169.34182698600
05,2016,1.89857301789,247.23193171200
06,2016,1.72974793098,140.44935437500
07,2016,1.81481027849,314.61267964700
08,2016,1.82693398954,417.58748575800
09,2016,2.21532517976,235.21177566500
10,2016,2.25733418048,109.25042128200
11,2016,2.02000175168,24.07389119150
12,2016,2.93861490296,16.40492856180
